,pclass,sex,age,hasFamily,embarked_C,embarked_Q,embarked_S,loc_A,loc_B,loc_C,loc_D,loc_E,loc_F,loc_G,loc_T,loc_X
378,1.0,1,19.0,True,0,0,1,0,0,0,1,0,0,0,0,0
356,2.0,0,2.0,True,0,0,1,0,0,0,0,0,0,0,0,1
737,3.0,0,1.0,True,0,0,1,0,0,0,0,0,0,0,0,1
85,3.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
427,1.0,0,24.0,False,1,0,0,0,0,1,0,0,0,0,0,0
75,2.0,1,16.0,False,0,0,1,0,0,0,0,0,0,0,0,1
680,3.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
869,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
422,3.0,1,36.0,True,0,0,1,0,0,0,0,0,0,0,0,1
311,2.0,1,43.0,True,0,0,1,0,0,0,0,0,0,0,0,1
834,3.0,1,16.0,False,0,0,1,0,0,0,0,0,0,0,0,1
331,1.0,1,52.0,True,0,0,1,0,0,0,0,1,0,0,0,0
1,2.0,1,54.0,False,0,0,1,0,0,0,0,0,0,0,0,1
702,1.0,1,42.0,False,0,0,1,0,0,0,1,0,0,0,0,0
317,3.0,0,26.0,True,0,0,1,0,0,0,0,0,0,0,0,1
204,2.0,0,27.0,True,1,0,0,0,0,0,0,0,0,0,0,1
863,1.0,0,64.0,True,1,0,0,0,0,0,0,1,0,0,0,0
910,1.0,1,27.0,True,0,0,1,0,0,0,0,1,0,0,0,0
628,1.0,0,16.0,False,0,0,1,0,1,0,0,0,0,0,0,0
395,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
140,3.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
881,2.0,0,21.0,True,0,0,1,0,0,0,0,0,0,0,0,1
255,3.0,0,39.0,True,0,1,0,0,0,0,0,0,0,0,0,1
641,3.0,1,22.0,True,0,0,1,0,0,0,0,0,0,0,0,1
403,3.0,0,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
653,1.0,1,29.0,True,0,0,1,0,0,1,0,0,0,0,0,0
443,1.0,0,30.0,False,0,0,1,0,1,0,0,0,0,0,0,0
239,1.0,1,6.0,True,1,0,0,0,0,0,0,1,0,0,0,0
261,3.0,0,27.0,True,0,0,1,0,0,0,0,0,0,0,0,1
312,2.0,0,25.5,False,0,0,1,0,0,0,0,0,0,0,0,1
162,1.0,0,36.0,True,0,0,1,0,0,0,0,1,0,0,0,0
892,3.0,1,32.0,False,0,0,1,0,0,0,0,1,0,0,0,0
496,2.0,1,48.0,False,0,0,1,0,0,0,0,0,0,0,0,1
888,3.0,1,33.0,False,0,0,1,0,0,0,0,0,0,0,0,1
864,3.0,0,30.0,False,0,1,0,0,0,0,0,0,0,0,0,1
715,2.0,0,34.0,False,0,0,1,0,0,0,0,0,0,0,0,1
585,1.0,1,42.0,False,0,0,1,0,0,0,0,0,0,0,0,1
440,2.0,1,0.6667,True,0,0,1,0,0,0,0,0,0,0,0,1
458,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
54,2.0,0,40.0,False,0,0,1,0,0,0,0,0,0,0,0,1
45,1.0,1,30.0,False,0,0,1,0,0,0,0,0,0,0,0,1
352,1.0,1,42.0,False,0,0,1,0,0,0,0,1,0,0,0,0
172,2.0,0,13.0,True,0,0,1,0,0,0,0,0,0,0,0,1
479,3.0,1,26.0,True,0,0,1,0,0,0,0,0,0,0,0,1
330,3.0,0,22.0,True,1,0,0,0,0,0,0,0,0,0,0,1
529,1.0,0,53.0,True,0,0,1,0,0,1,0,0,0,0,0,0
279,2.0,0,24.0,False,0,0,1,0,0,0,0,0,1,0,0,0
451,3.0,0,0.75,True,1,0,0,0,0,0,0,0,0,0,0,1
39,3.0,0,27.0,True,0,0,1,0,0,0,0,1,0,0,0,0
634,1.0,1,42.0,False,0,0,1,0,0,0,1,0,0,0,0,0
681,2.0,1,30.0,False,0,0,1,0,0,0,0,0,0,0,0,1
18,2.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
320,1.0,1,50.0,True,0,0,1,0,0,0,0,0,0,0,0,1
156,1.0,1,22.0,False,1,0,0,0,0,0,0,0,0,0,0,1
222,3.0,1,44.0,False,0,0,1,0,0,0,0,0,0,0,0,1
266,1.0,0,55.0,True,0,0,1,0,0,1,0,0,0,0,0,0
210,1.0,0,36.0,True,1,0,0,0,1,0,0,0,0,0,0,0
669,3.0,0,37.0,False,0,0,1,0,0,0,0,0,0,0,0,1
50,2.0,1,23.0,False,1,0,0,0,0,0,0,0,0,0,0,1
688,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
878,3.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
154,3.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
692,1.0,1,17.0,False,0,0,1,0,0,0,0,0,0,0,0,1
122,1.0,0,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
601,3.0,1,17.0,False,0,0,1,0,0,0,0,0,0,0,0,1
167,3.0,0,17.0,False,1,0,0,0,0,0,0,0,0,0,0,1
505,3.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
693,3.0,1,48.0,False,0,0,1,0,0,0,0,0,0,0,0,1
837,3.0,1,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
726,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
10,3.0,1,32.0,True,0,0,1,0,0,0,0,0,0,0,0,1
105,3.0,1,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
68,2.0,0,18.0,True,0,0,1,0,0,0,0,0,0,0,0,1
748,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
548,2.0,0,26.0,True,0,0,1,0,0,0,0,0,0,0,0,1
535,1.0,0,58.0,False,0,0,1,0,0,1,0,0,0,0,0,0
258,3.0,1,22.0,False,1,0,0,0,0,0,0,0,0,0,0,1
351,3.0,0,22.0,True,1,0,0,0,0,0,0,0,0,0,0,1
745,3.0,1,24.0,False,0,0,1,0,0,0,0,0,0,0,0,1
858,2.0,1,33.0,False,0,0,1,0,0,0,0,0,0,0,0,1
846,3.0,1,26.0,False,1,0,0,0,0,0,0,0,0,0,0,1
538,2.0,0,25.0,True,0,0,1,0,0,0,0,0,0,0,0,1
20,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
830,3.0,1,36.5,True,0,0,1,0,0,0,0,0,0,0,0,1
477,3.0,0,16.0,True,1,0,0,0,0,0,0,0,0,0,0,1
676,1.0,0,42.0,False,1,0,0,0,0,0,0,0,0,0,0,1
71,2.0,0,42.0,False,0,0,1,0,0,0,0,0,0,0,0,1
49,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
456,1.0,1,30.0,False,1,0,0,0,0,1,0,0,0,0,0,0
342,2.0,1,24.0,False,0,0,1,0,0,0,0,0,0,0,0,1
906,2.0,0,36.0,False,0,0,1,0,0,0,0,0,0,0,0,1
116,1.0,0,36.0,False,1,0,0,0,0,1,0,0,0,0,0,0
76,2.0,1,23.0,False,0,0,1,0,0,0,0,0,0,0,0,1
48,2.0,0,20.0,True,0,0,1,0,0,0,0,0,0,0,0,1
304,3.0,0,19.0,True,1,0,0,0,0,0,0,0,0,0,0,1
263,3.0,0,22.0,True,0,0,1,0,0,0,0,0,0,0,0,1
743,3.0,0,18.0,True,0,0,1,0,0,0,0,0,0,0,0,1
642,3.0,1,26.0,False,0,0,1,0,0,0,0,0,0,0,0,1
487,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
64,3.0,0,26.0,True,0,0,1,0,0,0,0,0,0,0,0,1
788,3.0,1,26.0,False,0,1,0,0,0,0,0,0,0,0,0,1
52,1.0,1,42.0,False,0,0,1,0,0,1,0,0,0,0,0,0
501,2.0,0,24.0,True,0,0,1,0,0,0,0,0,0,0,0,1
124,1.0,0,55.0,False,1,0,0,0,0,0,0,0,0,0,0,1
597,3.0,1,45.0,False,0,0,1,0,0,0,0,0,0,0,0,1
434,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
871,3.0,0,24.0,True,0,0,1,0,0,0,0,0,0,0,0,1
118,3.0,1,36.0,True,0,0,1,0,0,0,0,0,0,0,0,1
12,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
157,2.0,1,32.0,False,0,0,1,0,0,0,0,0,0,0,0,1
127,3.0,1,18.0,True,0,0,1,0,0,0,0,0,0,0,0,1
664,3.0,0,29.0,True,1,0,0,0,0,0,0,0,0,0,0,1
235,2.0,1,27.0,False,0,0,1,0,0,0,0,0,0,0,0,1
882,1.0,0,21.0,True,1,0,0,0,1,0,0,0,0,0,0,0
241,3.0,1,20.0,False,1,0,0,0,0,0,0,0,0,0,0,1
695,3.0,1,20.0,True,0,0,1,0,0,0,0,0,0,0,0,1
844,2.0,1,38.0,True,0,0,1,0,0,0,0,0,0,0,0,1
877,3.0,1,25.0,False,0,0,1,0,0,0,0,0,1,0,0,0
838,1.0,0,55.0,False,1,0,0,0,0,1,0,0,0,0,0,0
718,3.0,1,20.0,False,0,0,1,0,0,0,0,0,0,0,0,1
824,3.0,0,18.0,False,1,0,0,0,0,0,0,0,0,0,0,1
818,1.0,1,36.0,False,0,0,1,0,0,0,0,1,0,0,0,0
740,1.0,1,45.0,True,1,0,0,0,0,0,0,1,0,0,0,0
17,1.0,1,11.0,True,0,0,1,0,1,0,0,0,0,0,0,0
567,2.0,0,41.0,True,0,0,1,0,0,0,0,0,0,0,0,1
432,3.0,1,2.0,True,0,0,1,0,0,0,0,0,0,0,0,1
874,1.0,0,51.0,True,0,0,1,0,0,0,1,0,0,0,0,0
654,3.0,1,24.0,False,0,0,1,0,0,0,0,0,0,0,0,1
242,3.0,0,4.0,True,0,0,1,0,0,0,0,0,0,1,0,0
367,2.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
170,3.0,1,32.0,False,0,1,0,0,0,0,0,0,0,0,0,1
187,2.0,0,22.0,True,1,0,0,0,0,0,0,0,0,0,0,1
826,3.0,1,31.0,True,0,0,1,0,0,0,0,0,0,0,0,1
549,2.0,1,19.0,False,0,0,1,0,0,0,0,0,0,0,0,1
301,1.0,0,36.0,False,1,0,0,0,1,0,0,0,0,0,0,0
674,2.0,1,43.0,True,0,0,1,0,0,0,0,0,0,0,0,1
483,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
318,3.0,0,20.0,False,0,0,1,0,0,0,0,0,0,0,0,1
78,3.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
453,2.0,0,34.0,True,0,0,1,0,0,0,0,0,0,0,0,1
198,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
648,3.0,1,19.0,False,0,0,1,0,0,0,0,0,0,0,0,1
839,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
683,3.0,1,36.0,False,0,0,1,0,0,0,0,0,0,0,0,1
795,3.0,0,22.0,True,0,1,0,0,0,0,0,0,0,0,0,1
21,2.0,1,41.0,False,1,0,0,0,0,0,0,0,0,0,0,1
592,1.0,0,56.0,True,1,0,0,0,0,1,0,0,0,0,0,0
661,3.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
250,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
243,3.0,1,31.0,False,0,0,1,0,0,0,0,0,0,0,0,1
721,2.0,1,19.0,False,0,0,1,0,0,0,0,0,0,0,0,1
35,1.0,1,56.0,False,0,0,1,0,0,0,0,0,0,0,0,1
81,3.0,0,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
159,3.0,1,25.0,True,1,0,0,0,0,0,0,0,0,0,0,1
333,3.0,0,0.75,True,1,0,0,0,0,0,0,0,0,0,0,1
769,3.0,1,30.0,False,0,0,1,0,0,0,0,0,0,0,0,1
380,1.0,1,42.0,False,0,0,1,0,0,1,0,0,0,0,0,0
698,1.0,0,37.0,True,0,1,0,0,0,1,0,0,0,0,0,0
109,1.0,1,50.0,True,0,0,1,0,0,0,0,1,0,0,0,0
732,1.0,0,63.0,True,0,0,1,0,0,1,0,0,0,0,0,0
474,1.0,0,36.0,False,1,0,0,1,0,0,0,0,0,0,0,0
92,3.0,0,22.0,True,1,0,0,0,0,0,0,0,0,0,0,1
904,3.0,1,20.0,False,0,0,1,0,0,0,0,0,0,0,0,1
499,2.0,0,48.0,True,0,0,1,0,0,0,0,0,0,0,0,1
497,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
530,3.0,1,26.0,False,0,0,1,0,0,0,0,0,0,0,0,1
902,3.0,1,40.0,True,0,0,1,0,0,0,0,0,0,0,0,1
909,2.0,1,16.0,False,0,0,1,0,0,0,0,0,0,0,0,1
211,3.0,0,45.0,False,0,0,1,0,0,0,0,0,0,0,0,1
460,2.0,0,7.0,True,0,0,1,0,0,0,0,0,0,0,0,1
165,3.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
238,3.0,0,33.0,True,0,0,1,0,0,0,0,0,0,0,0,1
188,2.0,1,50.0,True,0,0,1,0,0,0,0,0,0,0,0,1
503,2.0,1,52.0,False,0,0,1,0,0,0,0,0,0,0,0,1
570,2.0,1,27.0,False,0,0,1,0,0,0,0,0,0,0,0,1
344,3.0,1,47.0,False,0,0,1,0,0,0,0,0,0,0,0,1
806,2.0,1,30.0,False,0,0,1,0,0,0,0,0,0,0,0,1
389,3.0,1,31.0,False,0,1,0,0,0,0,0,0,0,0,0,1
786,3.0,0,22.0,True,0,0,1,0,0,0,0,0,0,0,0,1
911,1.0,1,60.0,True,1,0,0,0,1,0,0,0,0,0,0,0
155,2.0,0,28.0,True,0,0,1,0,0,0,0,0,0,0,0,1
416,3.0,0,33.0,True,0,0,1,0,0,0,0,0,0,0,0,1
526,3.0,1,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
720,3.0,1,2.0,True,0,1,0,0,0,0,0,0,0,0,0,1
485,2.0,1,22.0,True,0,0,1,0,0,0,0,0,0,0,0,1
66,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
816,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
489,2.0,1,20.0,False,1,0,0,0,0,0,1,0,0,0,0,0
494,1.0,0,45.0,True,1,0,0,0,0,0,1,0,0,0,0,0
268,3.0,1,61.0,False,0,0,1,0,0,0,0,0,0,0,0,1
161,3.0,1,22.0,False,1,0,0,0,0,0,0,0,0,0,0,1
386,3.0,0,5.0,False,0,0,1,0,0,0,0,0,0,0,0,1
491,3.0,1,25.0,False,0,1,0,0,0,0,0,0,0,0,0,1
785,3.0,1,17.0,False,0,0,1,0,0,0,0,0,0,0,0,1
439,2.0,0,24.0,True,1,0,0,0,0,0,0,0,0,0,0,1
640,3.0,1,36.0,False,0,0,1,0,0,0,0,0,0,0,0,1
100,1.0,1,52.0,False,0,0,1,0,0,1,0,0,0,0,0,0
482,1.0,1,35.0,False,1,0,0,0,1,0,0,0,0,0,0,0
572,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
229,3.0,1,14.0,True,0,0,1,0,0,0,0,0,0,0,0,1
334,3.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
613,2.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
667,3.0,1,33.0,False,1,0,0,0,0,0,0,0,0,0,0,1
831,3.0,1,26.0,False,0,0,1,0,0,0,0,0,0,0,0,1
402,1.0,0,31.0,True,0,0,1,0,0,1,0,0,0,0,0,0
842,3.0,0,15.0,True,1,0,0,0,0,0,0,0,0,0,0,1
220,3.0,1,42.0,True,0,0,1,0,0,0,0,0,0,0,0,1
836,3.0,0,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
309,1.0,1,45.5,False,0,0,1,0,0,1,0,0,0,0,0,0
712,3.0,0,30.0,True,0,0,1,0,0,0,0,0,0,0,0,1
813,1.0,1,47.0,False,0,0,1,0,0,0,0,1,0,0,0,0
15,1.0,1,42.0,False,0,0,1,0,0,0,0,0,0,0,0,1
245,3.0,1,30.0,False,0,0,1,0,0,0,0,0,0,0,0,1
865,3.0,0,19.0,False,0,1,0,0,0,0,0,0,0,0,0,1
6,2.0,1,23.0,False,0,0,1,0,0,0,0,0,0,0,0,1
484,2.0,0,30.0,True,0,0,1,0,0,0,0,0,0,0,0,1
901,1.0,1,30.0,False,0,0,1,0,0,1,0,0,0,0,0,0
397,3.0,1,50.0,False,0,0,1,0,0,0,0,0,0,0,0,1
890,1.0,1,23.0,True,1,0,0,0,0,0,1,0,0,0,0,0
511,1.0,0,50.0,False,1,0,0,0,0,1,0,0,0,0,0,0
104,3.0,1,3.0,True,0,0,1,0,0,0,0,0,0,0,0,1
303,3.0,0,22.0,True,1,0,0,0,0,0,0,0,0,0,0,1
672,3.0,1,24.0,False,0,0,1,0,0,0,0,0,0,0,0,1
208,1.0,1,62.0,False,0,0,1,0,0,1,0,0,0,0,0,0
302,3.0,0,22.0,False,0,0,1,0,0,0,0,0,0,0,0,1
51,2.0,1,28.0,False,0,0,1,0,0,0,0,0,0,0,0,1
90,3.0,0,22.0,False,0,1,0,0,0,0,0,0,0,0,0,1
354,3.0,0,35.0,True,0,0,1,0,0,0,0,0,0,0,0,1
580,2.0,0,24.0,True,0,0,1,0,0,0,0,0,0,0,0,1
22,3.0,1,27.0,False,0,0,1,0,0,0,0,0,0,0,0,1
374,1.0,0,60.0,True,1,0,0,0,0,0,1,0,0,0,0,0
495,2.0,1,23.0,False,0,0,1,0,0,0,0,0,0,0,0,1
218,3.0,1,20.0,False,0,0,1,0,0,0,0,0,0,0,0,1
679,3.0,1,24.0,False,0,1,0,0,0,0,0,0,0,0,0,1
452,1.0,1,42.0,False,0,0,1,0,0,1,0,0,0,0,0,0
747,2.0,1,25.0,False,0,0,1,0,0,0,0,0,0,0,0,1
492,2.0,1,18.0,False,0,0,1,0,0,0,0,0,0,0,0,1
465,1.0,1,34.0,False,0,0,1,0,0,0,0,0,0,0,0,1
205,3.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
867,2.0,0,36.0,True,0,0,1,0,0,0,0,0,0,0,0,1
190,3.0,1,21.0,False,0,0,1,0,0,0,0,0,0,0,0,1
361,2.0,1,63.0,True,0,0,1,0,0,0,0,0,0,0,0,1
