,fare,embarked,survived,pclass,sex,age,sibsp,parch,loc
0,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
1,21.0,2,0.0,2.0,1,43.0,0.0,1.0,8
2,24.15,2,0.0,3.0,0,10.0,0.0,2.0,8
3,15.5,1,0.0,3.0,1,24.0,0.0,0.0,8
4,211.3375,2,1.0,1.0,0,43.0,0.0,1.0,1
5,7.8792,1,0.0,3.0,0,27.0,0.0,0.0,8
6,7.8542,2,0.0,3.0,1,33.0,0.0,0.0,8
7,76.7292,0,1.0,1.0,0,49.0,1.0,0.0,3
8,24.15,2,0.0,3.0,1,36.0,1.0,1.0,8
9,7.8792,1,0.0,3.0,1,24.0,0.0,0.0,8
10,8.6625,2,0.0,3.0,0,22.0,2.0,0.0,8
11,18.0,2,0.0,3.0,1,31.0,3.0,0.0,8
12,7.6292,1,0.0,3.0,0,24.0,0.0,0.0,8
13,19.5,2,1.0,2.0,0,13.0,0.0,1.0,8
14,146.5208,0,0.0,1.0,1,57.0,1.0,0.0,1
15,49.5,0,1.0,1.0,0,22.0,0.0,2.0,1
16,37.0042,0,1.0,2.0,0,24.0,1.0,1.0,8
17,31.3875,2,0.0,3.0,1,40.0,1.0,5.0,8
18,14.4,2,0.0,3.0,1,0.3333,0.0,2.0,8
19,31.3875,2,0.0,3.0,1,13.0,4.0,2.0,8
20,9.5,2,0.0,3.0,1,36.0,0.0,0.0,8
21,7.925,2,0.0,3.0,1,28.0,2.0,0.0,8
22,29.125,1,0.0,3.0,1,4.0,4.0,1.0,8
23,39.6875,2,0.0,3.0,1,16.0,4.0,1.0,8
24,26.55,2,0.0,1.0,1,39.0,0.0,0.0,3
25,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
26,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
27,39.0,2,0.0,2.0,1,60.0,1.0,1.0,8
28,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
29,7.775,2,1.0,3.0,1,26.0,0.0,0.0,8
30,0.0,2,0.0,1.0,1,39.0,0.0,0.0,8
31,26.2875,2,1.0,1.0,1,42.0,0.0,0.0,4
32,25.9292,2,1.0,1.0,0,48.0,0.0,0.0,3
33,21.6792,0,0.0,3.0,1,24.0,2.0,0.0,8
34,7.75,1,1.0,3.0,0,24.0,0.0,0.0,8
35,19.2583,0,1.0,3.0,0,5.0,2.0,1.0,8
36,262.375,0,0.0,1.0,1,61.0,1.0,3.0,1
37,7.75,1,0.0,3.0,1,31.0,0.0,0.0,8
38,26.55,2,1.0,1.0,1,34.0,0.0,0.0,8
39,20.525,2,0.0,3.0,1,33.0,1.0,1.0,8
40,13.0,2,1.0,2.0,1,34.0,0.0,0.0,3
41,7.925,2,1.0,3.0,0,26.0,0.0,0.0,8
42,7.7417,1,0.0,3.0,1,25.0,0.0,0.0,8
43,23.45,2,0.0,3.0,1,24.0,1.0,2.0,8
44,22.025,2,1.0,3.0,1,29.0,3.0,1.0,8
45,7.7333,1,0.0,3.0,1,31.0,0.0,0.0,8
46,29.125,1,0.0,3.0,1,8.0,4.0,1.0,8
47,14.1083,2,0.0,3.0,1,41.0,2.0,0.0,8
48,0.0,2,0.0,1.0,1,39.0,0.0,0.0,8
49,21.075,2,0.0,3.0,0,29.0,0.0,4.0,8
50,7.225,0,0.0,3.0,1,25.0,0.0,0.0,8
51,7.3125,2,0.0,3.0,1,24.0,0.0,0.0,8
52,7.925,2,1.0,3.0,1,20.0,1.0,0.0,8
53,7.8292,1,0.0,3.0,1,24.0,0.0,0.0,8
54,7.25,1,0.0,3.0,1,24.0,0.0,0.0,8
55,7.75,1,0.0,3.0,1,24.0,0.0,0.0,8
56,13.0,2,0.0,2.0,1,34.0,0.0,0.0,8
57,14.4542,0,0.0,3.0,1,27.0,1.0,0.0,8
58,164.8667,2,1.0,1.0,0,30.0,0.0,0.0,2
59,52.5542,2,1.0,1.0,1,42.0,1.0,0.0,3
60,27.7208,0,0.0,1.0,1,40.0,0.0,0.0,8
61,14.4583,0,0.0,3.0,1,24.0,0.0,0.0,8
62,7.225,0,0.0,3.0,1,45.5,0.0,0.0,8
63,15.2458,0,1.0,3.0,1,7.0,1.0,1.0,8
64,15.5,1,0.0,3.0,1,24.0,1.0,0.0,8
65,10.5,2,1.0,2.0,0,50.0,0.0,0.0,8
66,78.85,2,1.0,1.0,0,26.0,0.0,0.0,8
67,7.225,0,0.0,3.0,1,27.0,0.0,0.0,8
68,7.8792,1,0.0,3.0,1,26.0,0.0,0.0,8
69,9.8375,2,0.0,3.0,0,22.0,0.0,0.0,8
70,7.8542,2,0.0,3.0,0,31.0,0.0,0.0,8
71,26.0,2,1.0,2.0,1,3.0,1.0,1.0,5
72,14.5,2,0.0,3.0,0,24.0,0.0,0.0,8
73,9.5,2,0.0,3.0,1,24.0,0.0,0.0,8
74,8.05,2,0.0,3.0,1,26.0,0.0,0.0,8
75,13.0,2,0.0,2.0,1,30.0,0.0,0.0,8
76,24.15,2,0.0,3.0,1,24.0,2.0,0.0,8
77,7.225,0,0.0,3.0,1,24.0,0.0,0.0,8
78,8.6833,2,1.0,3.0,0,31.0,0.0,0.0,8
79,13.9,2,0.0,3.0,1,23.0,1.0,0.0,8
80,55.9,2,0.0,1.0,1,50.0,1.0,0.0,4
81,10.5,2,1.0,2.0,0,27.0,0.0,0.0,4
82,9.6875,1,0.0,2.0,1,62.0,0.0,0.0,8
83,7.75,1,0.0,3.0,1,24.0,0.0,0.0,8
84,56.4958,2,1.0,3.0,1,32.0,0.0,0.0,8
85,6.95,1,0.0,3.0,1,24.0,0.0,0.0,8
86,7.8958,2,0.0,3.0,1,27.0,0.0,0.0,8
87,50.0,2,0.0,1.0,1,55.0,0.0,0.0,2
88,56.4958,2,1.0,3.0,1,24.0,0.0,0.0,8
89,24.15,2,0.0,3.0,1,21.0,2.0,0.0,8
90,8.05,2,0.0,3.0,1,16.0,0.0,0.0,8
91,71.0,2,0.0,1.0,1,70.0,1.0,1.0,1
92,10.5,2,0.0,2.0,1,28.0,0.0,0.0,8
93,56.4958,2,1.0,3.0,1,32.0,0.0,0.0,8
94,73.5,2,0.0,2.0,1,17.0,0.0,0.0,8
95,7.85,2,0.0,3.0,1,41.0,0.0,0.0,8
96,134.5,0,1.0,1.0,1,6.0,0.0,2.0,4
97,7.05,2,0.0,3.0,1,25.0,0.0,0.0,8
98,7.2292,0,0.0,3.0,1,24.0,0.0,0.0,8
99,83.475,2,1.0,1.0,0,35.0,1.0,0.0,2
100,164.8667,2,0.0,1.0,1,57.0,1.0,1.0,8
101,7.75,1,0.0,3.0,1,24.0,0.0,0.0,8
102,45.5,2,0.0,1.0,1,30.0,0.0,0.0,8
103,60.0,2,1.0,1.0,0,18.0,1.0,0.0,2
104,9.825,2,0.0,3.0,0,20.0,1.0,0.0,8
105,25.4667,2,0.0,3.0,0,24.0,3.0,1.0,8
106,31.3875,2,1.0,3.0,1,3.0,4.0,2.0,8
107,12.875,2,0.0,2.0,1,27.0,0.0,0.0,8
108,15.5,1,0.0,3.0,0,24.0,1.0,0.0,8
109,8.5167,0,1.0,3.0,1,0.4167,0.0,1.0,8
110,151.55,2,0.0,1.0,1,30.0,1.0,2.0,2
111,10.5,2,1.0,2.0,1,19.0,0.0,0.0,8
112,12.475,2,1.0,3.0,0,27.0,0.0,1.0,4
113,7.55,2,0.0,3.0,1,42.0,0.0,0.0,8
114,35.5,2,0.0,1.0,1,45.0,0.0,0.0,7
115,9.5875,2,1.0,3.0,0,63.0,0.0,0.0,8
116,82.1708,0,1.0,1.0,0,39.0,1.0,0.0,8
117,26.0,2,1.0,2.0,0,19.0,0.0,0.0,8
118,61.3792,0,0.0,1.0,1,51.0,0.0,1.0,8
119,13.0,2,0.0,2.0,1,28.0,0.0,0.0,8
120,7.925,2,0.0,3.0,1,29.0,0.0,0.0,8
121,26.55,2,0.0,1.0,1,42.0,0.0,0.0,3
122,8.05,2,0.0,3.0,1,35.0,0.0,0.0,8
123,10.5,2,0.0,2.0,1,25.0,0.0,0.0,8
124,26.0,2,1.0,1.0,1,39.0,0.0,0.0,8
125,26.55,2,1.0,1.0,1,39.0,0.0,0.0,8
126,27.0,2,1.0,2.0,0,24.0,2.0,1.0,8
127,26.25,2,1.0,2.0,0,8.0,0.0,2.0,8
128,9.5,2,0.0,3.0,1,28.0,0.0,0.0,8
129,8.6625,2,0.0,3.0,1,20.0,0.0,0.0,8
130,26.0,2,1.0,2.0,0,25.0,0.0,1.0,8
131,7.8,2,0.0,3.0,1,21.0,0.0,0.0,8
132,7.75,1,0.0,3.0,0,24.0,0.0,0.0,8
133,31.275,2,0.0,3.0,1,4.0,4.0,2.0,8
134,120.0,2,1.0,1.0,0,36.0,1.0,2.0,1
135,26.55,2,0.0,1.0,1,33.0,0.0,0.0,8
136,7.8875,2,1.0,3.0,1,24.0,0.0,0.0,8
137,8.05,2,0.0,3.0,1,44.0,0.0,0.0,8
138,27.75,2,1.0,2.0,0,33.0,1.0,2.0,8
139,30.5,2,1.0,1.0,1,39.0,0.0,0.0,2
140,29.0,2,1.0,2.0,1,0.8333,0.0,2.0,8
141,7.8958,2,0.0,3.0,1,19.0,0.0,0.0,8
142,7.8958,2,0.0,3.0,1,19.0,0.0,0.0,8
143,7.8958,2,0.0,3.0,1,26.0,0.0,0.0,8
144,29.7,0,0.0,1.0,1,37.0,0.0,1.0,2
145,15.55,2,0.0,3.0,1,36.0,1.0,0.0,8
146,79.65,2,1.0,1.0,0,18.0,0.0,2.0,4
147,14.5,2,0.0,3.0,1,24.0,1.0,1.0,8
148,7.2292,0,1.0,3.0,0,18.0,0.0,0.0,8
149,211.5,0,1.0,1.0,0,50.0,1.0,1.0,2
150,8.5167,0,1.0,3.0,0,16.0,1.0,1.0,8
151,59.4,0,1.0,1.0,0,22.0,0.0,1.0,8
152,26.25,2,0.0,2.0,1,31.0,1.0,1.0,8
153,26.55,2,0.0,1.0,1,62.0,0.0,0.0,8
154,9.5875,2,0.0,3.0,0,37.0,0.0,0.0,8
155,7.7875,1,1.0,3.0,0,24.0,0.0,0.0,8
156,14.4542,0,1.0,3.0,0,15.0,1.0,0.0,8
157,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
158,8.05,2,1.0,3.0,1,45.0,0.0,0.0,8
159,6.95,1,1.0,3.0,0,30.0,0.0,0.0,8
160,7.775,2,0.0,3.0,0,25.0,0.0,0.0,8
161,73.5,2,0.0,2.0,1,24.0,2.0,0.0,8
162,29.7,0,1.0,1.0,1,39.0,0.0,0.0,2
163,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
164,7.2292,0,0.0,3.0,1,17.0,1.0,1.0,8
165,8.6625,2,0.0,3.0,0,23.0,0.0,0.0,8
166,8.3,2,0.0,3.0,1,18.0,0.0,0.0,8
167,20.525,2,1.0,3.0,1,9.0,0.0,2.0,8
168,0.0,2,0.0,3.0,1,19.0,0.0,0.0,8
169,7.775,2,1.0,3.0,1,25.0,1.0,0.0,8
170,30.6958,0,0.0,1.0,1,56.0,0.0,0.0,0
171,7.225,0,0.0,3.0,1,24.0,0.0,0.0,8
172,14.5,2,0.0,3.0,1,50.0,1.0,0.0,8
173,8.05,2,1.0,3.0,1,16.0,0.0,0.0,8
174,13.0,2,0.0,2.0,1,30.0,0.0,0.0,8
175,15.0458,0,0.0,2.0,1,27.0,0.0,0.0,3
176,16.7,2,1.0,3.0,0,24.0,0.0,2.0,6
177,39.6875,2,0.0,3.0,0,22.0,0.0,0.0,8
178,7.925,2,1.0,3.0,1,44.0,0.0,0.0,8
179,15.2458,0,1.0,3.0,0,9.0,1.0,1.0,8
180,7.4958,2,0.0,3.0,1,36.0,0.0,0.0,8
181,29.0,2,1.0,2.0,1,26.0,1.0,1.0,8
182,13.0,2,1.0,2.0,0,24.0,0.0,0.0,5
183,7.8542,2,0.0,3.0,1,26.0,1.0,0.0,8
184,7.8958,2,0.0,3.0,1,38.0,0.0,0.0,8
185,8.6625,2,0.0,3.0,1,24.0,0.0,0.0,8
186,20.2125,2,0.0,3.0,0,2.0,1.0,1.0,8
187,7.75,1,0.0,3.0,1,24.0,0.0,0.0,8
188,26.0,2,1.0,2.0,0,42.0,1.0,0.0,8
189,26.2875,2,1.0,1.0,1,36.0,0.0,0.0,4
190,26.0,2,1.0,2.0,0,29.0,1.0,0.0,8
191,20.25,2,0.0,3.0,1,16.0,1.0,1.0,8
192,136.7792,0,1.0,1.0,0,26.0,1.0,0.0,2
193,512.3292,0,1.0,1.0,1,35.0,0.0,0.0,1
194,108.9,0,1.0,1.0,0,17.0,1.0,0.0,2
195,71.2833,0,1.0,1.0,0,38.0,1.0,0.0,2
196,7.65,2,0.0,3.0,1,42.0,0.0,0.0,5
197,7.5792,2,1.0,3.0,1,32.0,0.0,0.0,8
198,15.5,1,1.0,3.0,0,24.0,0.0,0.0,8
199,7.7375,1,1.0,3.0,0,24.0,0.0,0.0,8
200,56.4958,2,1.0,3.0,1,24.0,0.0,0.0,8
201,7.75,1,1.0,3.0,1,24.0,0.0,0.0,8
202,7.7792,1,1.0,3.0,0,24.0,0.0,0.0,8
203,31.275,2,0.0,3.0,0,2.0,4.0,2.0,8
204,30.0,2,1.0,1.0,1,39.0,0.0,0.0,3
205,7.225,0,0.0,3.0,1,24.0,0.0,0.0,8
206,28.5,0,1.0,1.0,1,53.0,0.0,0.0,2
207,7.5208,2,0.0,3.0,1,22.0,0.0,0.0,8
208,7.25,2,0.0,3.0,1,22.0,1.0,0.0,8
209,37.0042,0,1.0,2.0,1,1.0,0.0,2.0,8
210,8.85,2,0.0,3.0,0,24.0,0.0,0.0,8
211,30.0,2,1.0,2.0,0,25.0,1.0,1.0,8
212,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
213,0.0,2,0.0,2.0,1,27.0,0.0,0.0,8
214,8.05,2,0.0,3.0,1,21.0,0.0,0.0,8
215,8.7125,2,0.0,3.0,1,24.0,0.0,0.0,8
216,7.8958,2,0.0,3.0,1,24.0,0.0,0.0,8
217,46.9,2,0.0,3.0,1,1.0,5.0,2.0,8
218,7.925,2,1.0,3.0,0,17.0,4.0,2.0,8
219,0.0,2,0.0,3.0,1,36.0,0.0,0.0,8
220,7.0542,2,0.0,3.0,1,51.0,0.0,0.0,8
221,39.6,2,1.0,1.0,1,39.0,0.0,0.0,8
222,27.7208,0,1.0,2.0,0,24.0,1.0,0.0,8
223,7.8208,1,1.0,3.0,1,21.0,0.0,0.0,8
224,7.8958,2,0.0,3.0,1,43.0,0.0,0.0,8
225,33.0,2,1.0,2.0,0,6.0,0.0,1.0,8
226,8.6625,2,0.0,3.0,1,17.0,0.0,0.0,8
227,61.175,2,1.0,1.0,0,47.0,1.0,0.0,4
228,7.8542,2,0.0,3.0,1,18.0,1.0,1.0,8
229,36.75,2,1.0,2.0,1,8.0,1.0,1.0,8
230,13.0,2,0.0,2.0,1,30.0,0.0,0.0,8
231,7.6292,1,0.0,3.0,0,30.0,0.0,0.0,8
232,8.6625,2,0.0,3.0,0,30.0,0.0,0.0,8
233,23.0,2,1.0,2.0,0,34.0,0.0,1.0,8
234,7.25,2,0.0,3.0,1,22.0,0.0,0.0,8
235,9.225,2,0.0,3.0,1,23.0,0.0,0.0,8
236,39.4,2,1.0,1.0,0,16.0,0.0,1.0,3
237,31.5,2,0.0,2.0,1,25.0,0.0,0.0,8
238,13.0,2,0.0,2.0,1,25.0,0.0,0.0,8
239,136.7792,0,0.0,1.0,1,27.0,1.0,0.0,2
240,8.05,2,0.0,3.0,0,24.0,0.0,0.0,8
241,9.5,2,0.0,3.0,1,28.0,0.0,0.0,8
242,7.7958,2,0.0,3.0,1,22.0,0.0,0.0,8
243,71.2833,0,0.0,1.0,1,39.0,1.0,0.0,2
244,8.6625,2,0.0,3.0,1,17.0,0.0,0.0,8
245,34.375,2,0.0,3.0,0,9.0,2.0,2.0,8
246,79.65,2,0.0,1.0,1,52.0,1.0,1.0,4
247,57.9792,0,1.0,1.0,0,44.0,0.0,1.0,1
248,7.75,1,1.0,3.0,0,24.0,0.0,0.0,8
249,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
250,21.0,2,1.0,2.0,0,21.0,0.0,1.0,8
251,30.0708,0,1.0,2.0,0,14.0,1.0,0.0,8
252,69.55,2,0.0,3.0,1,24.0,8.0,2.0,8
253,53.1,2,1.0,1.0,0,33.0,1.0,0.0,4
254,16.1,2,0.0,3.0,1,24.0,1.0,0.0,8
255,10.5167,2,0.0,3.0,0,22.0,0.0,0.0,8
256,13.8583,0,1.0,2.0,0,27.0,1.0,0.0,8
257,39.6,0,1.0,1.0,0,48.0,1.0,0.0,0
258,7.775,2,0.0,3.0,1,19.0,0.0,0.0,8
259,15.75,2,1.0,2.0,0,40.0,0.0,0.0,8
260,8.05,2,0.0,3.0,1,24.0,0.0,0.0,8
261,0.0,2,0.0,2.0,1,27.0,0.0,0.0,8
262,20.2125,2,0.0,3.0,0,41.0,0.0,2.0,8
263,76.2917,0,1.0,1.0,0,60.0,0.0,0.0,3
264,7.65,2,1.0,3.0,1,25.0,0.0,0.0,5
265,13.0,2,1.0,2.0,1,31.0,0.0,0.0,8
266,3.1708,2,1.0,3.0,1,9.0,0.0,1.0,8
267,29.125,1,0.0,3.0,1,2.0,4.0,1.0,8
268,39.0,2,1.0,2.0,0,36.0,0.0,3.0,5
269,7.75,1,0.0,3.0,1,24.0,0.0,0.0,8
270,26.0,2,0.0,1.0,1,64.0,0.0,0.0,8
271,7.775,2,0.0,3.0,1,22.0,0.0,0.0,8
272,93.5,2,0.0,1.0,1,55.0,1.0,1.0,1
273,15.0458,0,0.0,2.0,1,41.0,0.0,0.0,8
274,69.55,2,0.0,3.0,1,24.0,1.0,9.0,8
275,80.0,2,1.0,1.0,0,62.0,0.0,0.0,1
276,7.225,0,0.0,3.0,1,26.5,0.0,0.0,8
277,14.4542,0,0.0,3.0,0,24.0,1.0,0.0,8
278,9.475,2,0.0,3.0,0,40.0,1.0,0.0,8
279,14.4542,0,0.0,3.0,0,14.5,1.0,0.0,8
280,52.0,2,0.0,1.0,1,47.0,0.0,0.0,2
281,73.5,2,0.0,2.0,1,18.0,0.0,0.0,8
282,7.2292,0,1.0,3.0,1,20.0,0.0,0.0,8
283,14.5,2,0.0,3.0,0,47.0,1.0,0.0,8
284,7.2292,0,0.0,3.0,1,24.0,0.0,0.0,8
285,69.55,2,0.0,3.0,0,24.0,8.0,2.0,8
286,19.2583,0,1.0,3.0,0,24.0,0.0,3.0,8
287,135.6333,2,1.0,1.0,0,35.0,0.0,0.0,2
288,0.0,2,0.0,2.0,1,27.0,0.0,0.0,8
289,53.1,2,1.0,1.0,0,18.0,1.0,0.0,3
290,76.2917,0,1.0,1.0,0,32.0,0.0,0.0,3
291,153.4625,2,1.0,1.0,0,58.0,0.0,1.0,2
292,8.05,2,0.0,3.0,1,19.0,0.0,0.0,8
293,13.0,2,0.0,2.0,1,30.0,0.0,0.0,8
294,14.5,2,0.0,3.0,1,40.5,0.0,2.0,8
295,110.8833,0,1.0,1.0,0,39.0,1.0,1.0,2
296,46.9,2,0.0,3.0,0,16.0,5.0,2.0,8
297,16.7,2,1.0,3.0,0,4.0,1.0,1.0,6
298,55.4417,0,1.0,1.0,1,25.0,1.0,0.0,4
299,7.05,2,0.0,3.0,1,38.0,0.0,0.0,8
300,7.8958,2,0.0,3.0,1,35.0,0.0,0.0,8
301,66.6,2,0.0,1.0,1,29.0,1.0,0.0,2
302,6.4958,2,0.0,3.0,1,21.0,1.0,0.0,8
303,7.8958,2,0.0,3.0,1,22.0,0.0,0.0,8
304,7.8958,2,0.0,3.0,1,24.0,0.0,0.0,8
305,7.775,2,0.0,3.0,1,25.0,1.0,0.0,8
